File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
8319bddd-c2eb-4c62-957a-0769d6275f1b	b06e1f41-5135-41e1-9eb5-eabcc5b3f09c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A4LP	TCGA-MQ-A4LP-01A	Tumor	Primary	Solid Tissue	OCT
77a4461d-53be-4453-abdf-9a4b20fe703d	0dd3608a-0aa4-4fb9-96c3-d529c149f3f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7P3	TCGA-TS-A7P3-01A	Tumor	Primary	Solid Tissue	OCT
8f57022d-95a2-4f37-814d-4d14559c69c1	67d085e0-11d4-4bc0-ba18-bd495f5f54e1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4O0	TCGA-LK-A4O0-01A	Tumor	Primary	Solid Tissue	OCT
eb50cd4f-0efb-459d-a0b3-369599fc31bd	920f9b20-deb4-4f32-b6a5-f62759d2201e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3H-AB3S	TCGA-3H-AB3S-01A	Tumor	Primary	Solid Tissue	Unknown
372af136-955c-4975-8223-5a82655beaee	e9816e1d-3113-4a36-b426-7435a20a89c1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4NW	TCGA-LK-A4NW-01A	Tumor	Primary	Solid Tissue	OCT
24639bdf-b806-45b0-b67d-e8e63e944fa0	3e65b592-9039-4ef4-8204-1615dc0b90c6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3H-AB3L	TCGA-3H-AB3L-01A	Tumor	Primary	Solid Tissue	Unknown
c45ba79b-3927-438e-88ea-7c7ec7e1e2ef	7235f8ec-5fb0-46eb-9d84-86b09461d79b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SH-A7BC	TCGA-SH-A7BC-01A	Tumor	Primary	Solid Tissue	OCT
2084cede-ce03-41db-b2ce-8f54e9a90310	25dd9f55-1dfe-4eec-9d5a-fbfc35f34c13.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4O6	TCGA-LK-A4O6-01A	Tumor	Primary	Solid Tissue	OCT
6fe2adca-0920-4158-8bc6-35dfd5475c82	17a3a445-ef59-4678-9168-face945927f6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SH-A7BH	TCGA-SH-A7BH-01A	Tumor	Primary	Solid Tissue	OCT
0e889c70-5d89-421d-8834-5e9d459fe7b0	a7a1a032-75e9-4187-87e5-7e6e37ad0873.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SC-A6LM	TCGA-SC-A6LM-01A	Tumor	Primary	Solid Tissue	OCT
6830d147-1016-4c8e-9fb7-1c666d2514e6	506126cf-798d-4643-bd93-4039989b68f6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7OZ	TCGA-TS-A7OZ-01A	Tumor	Primary	Solid Tissue	OCT
7cef99bc-3a4a-4a3e-a12f-c645eba5c9de	32441f65-761b-43f7-b3fb-0e2df571a975.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VW	TCGA-ZN-A9VW-01A	Tumor	Primary	Solid Tissue	OCT
3f176e69-26d8-4171-93a4-4f514ebfbd7b	5c556822-006b-4d94-b0ef-4d8549f028ac.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SH-A9CU	TCGA-SH-A9CU-01A	Tumor	Primary	Solid Tissue	OCT
7bc1d6e5-7bd3-46b4-8cf1-34bd37df598d	31a3f506-dae2-4c49-91c2-b71a41b428c5.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4NY	TCGA-LK-A4NY-01A	Tumor	Primary	Solid Tissue	OCT
4ff0b3db-9304-49d4-9dd5-26f8c979b54b	5296360f-9f19-4548-b674-5e36cfba781e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SC-AA5Z	TCGA-SC-AA5Z-01A	Tumor	Primary	Solid Tissue	OCT
db530d61-4235-4219-b01c-410db473ec10	f17a0868-187f-43f3-8cb0-f94ff09d2dba.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-XT-AASU	TCGA-XT-AASU-01A	Tumor	Primary	Solid Tissue	OCT
281df5e5-68ff-4a52-9162-6471d4b240e5	98e4d83f-6338-48e4-bc26-f99f35f6164e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3H-AB3O	TCGA-3H-AB3O-01A	Tumor	Primary	Solid Tissue	Unknown
eaa1de52-a0c8-4d65-ab79-49f85147d2c1	a721b226-49dc-4a5b-ba48-9a8dd4575f59.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SC-A6LQ	TCGA-SC-A6LQ-01A	Tumor	Primary	Solid Tissue	OCT
3fa761fb-f9af-4deb-ab52-6ca5a6c86d5a	1801ba70-9659-46d9-ac44-f8f79a98d6b2.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98I	TCGA-3U-A98I-01A	Tumor	Primary	Solid Tissue	OCT
f3ce3c97-e0d5-4f11-adda-6bd09eece19a	cc038297-ec9f-4942-bf60-cc8f8c3007c6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A6BN	TCGA-MQ-A6BN-01A	Tumor	Primary	Solid Tissue	OCT
73fc9db7-eb25-4c58-bc1b-b20ffb7db659	13109f0d-8d37-4936-a4ec-3eb2ad712128.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-NQ-A57I	TCGA-NQ-A57I-01A	Tumor	Primary	Solid Tissue	Unknown
82017779-56b1-4517-83f2-1eca6ef377ce	c221249b-eb8e-4ed4-8eb6-754e7d922e9b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UT-A88D	TCGA-UT-A88D-01B	Tumor	Primary	Solid Tissue	OCT
fceb4702-0d87-4df6-a7d6-9bd9aba414a8	014b1f93-8cd4-4c5a-8a06-c2c25fcdd134.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UD-AABY	TCGA-UD-AABY-01A	Tumor	Primary	Solid Tissue	OCT
d7655643-5245-47db-8969-bc075e206ece	e2400926-06f4-4b2c-8165-f9676a4eeb8e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98F	TCGA-3U-A98F-01A	Tumor	Primary	Solid Tissue	OCT
1e1a808e-025c-43f9-abf0-05ab3c77aff3	b86a5407-62b7-43a2-a53f-0166b288ab01.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A4LI	TCGA-MQ-A4LI-01A	Tumor	Primary	Solid Tissue	OCT
4d9179cd-b822-4678-8f17-29c7cd6418da	62d1d46c-68a8-4290-96d1-e32aae1546f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UD-AAC5	TCGA-UD-AAC5-01A	Tumor	Primary	Solid Tissue	OCT
0c544f4b-a9c1-4d47-ad12-ad4afb286a5a	3eaaf6b7-4128-4fd0-9145-67e5c1431c5b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-YS-A95B	TCGA-YS-A95B-01A	Tumor	Primary	Solid Tissue	Unknown
