mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
5,gini,1,0.7298511904761905,0.6035714285714285,0.7161111111111113,0.10620312750374528,0.17647579857587611,0.181668577971597
5,gini,3,0.7306944444444444,0.5992857142857142,0.7205555555555556,0.10097817052098974,0.17648182153789477,0.164546702440221
5,gini,5,0.7262003968253968,0.5978571428571429,0.725,0.10427842250883029,0.1880038581526244,0.16453107077700796
5,gini,10,0.7257738095238095,0.5985714285714285,0.715,0.10580742298800028,0.16625054344957466,0.16262064214308344
5,gini,15,0.7306944444444444,0.6092857142857142,0.7433333333333334,0.09884969371761486,0.17657515117820358,0.18024902755398262
5,gini,20,0.730734126984127,0.6242857142857142,0.7255555555555557,0.10828796687166246,0.17170426739652359,0.1642514038373841
10,gini,1,0.7256646825396825,0.6092857142857142,0.7105555555555556,0.09812881874995098,0.16514397964686892,0.17689850557797304
10,gini,3,0.7279166666666665,0.6035714285714285,0.7111111111111112,0.09787454160354357,0.17647579857587611,0.1921156844559854
10,gini,5,0.7204761904761904,0.6135714285714285,0.7238888888888888,0.10586389061665863,0.16994647016366193,0.18016874520562992
10,gini,10,0.7276190476190476,0.6135714285714285,0.7205555555555557,0.09709067215635075,0.16994647016366193,0.1613902435080525
10,gini,15,0.7275198412698413,0.6092857142857142,0.7161111111111113,0.10170371837838373,0.17657515117820358,0.17591435147110066
10,gini,20,0.7283829365079364,0.6135714285714285,0.71,0.09769308928688648,0.1774428623184238,0.17120180076261507
20,gini,1,0.728015873015873,0.6185714285714285,0.6916666666666668,0.10214244695390633,0.17586339492193762,0.16906073737509456
20,gini,3,0.7320535714285714,0.6185714285714285,0.7194444444444446,0.09763893013245997,0.17212161497074113,0.17863112611778217
20,gini,5,0.7274305555555556,0.6142857142857142,0.7061111111111111,0.09972464025719951,0.16751484856512253,0.16899796976889467
20,gini,10,0.7268055555555556,0.6142857142857142,0.7016666666666667,0.106020600124341,0.16751484856512253,0.1846107990322927
20,gini,15,0.7194444444444444,0.6035714285714285,0.7055555555555556,0.10398381591795897,0.17647579857587611,0.17379619763607373
