feature,Overall
ENSG00000182481,100
ENSG00000176619,69.52361563529065
ENSG00000131747,58.32491943717025
ENSG00000206527,55.19482390433791
ENSG00000275216,50.684919517749414
ENSG00000196616,49.542959686206615
ENSG00000167767,37.151331563563424
ENSG00000130726,28.519423028441356
ENSG00000180914,28.332603516382143
ENSG00000167553,27.78864745649851
ENSG00000185432,25.757772036223457
ENSG00000154277,24.650280359897426
ENSG00000130309,21.606084510101336
ENSG00000011426,21.293838607514736
ENSG00000115884,21.115861365003745
ENSG00000145681,18.985826093539675
ENSG00000165124,18.556923533076027
ENSG00000128422,16.72819464505582
ENSG00000186847,16.655265205438692
ENSG00000170558,16.58444163592683
