gene,variance
ENSG00000000003,931596.480984952
ENSG00000000005,1561.2634746922008
ENSG00000000419,447132.3213406293
ENSG00000000457,308889.4834473322
ENSG00000000460,127313.92175102595
ENSG00000000938,2299171.055540356
ENSG00000000971,3904377163.600684
ENSG00000001036,10763223.163885089
ENSG00000001084,758320.3688098497
ENSG00000001167,3121777.879069768
ENSG00000001460,601826.9411764706
ENSG00000001461,12676695.543775652
ENSG00000001497,2195416.961422709
ENSG00000001561,1165745.7221614223
ENSG00000001617,7053293.076333789
ENSG00000001626,649013.7340629278
ENSG00000001629,6282499.029822162
ENSG00000001630,9178216.877154583
ENSG00000001631,1262804.663885089
ENSG00000002016,182793.9864569084
ENSG00000002079,1068.045006839943
ENSG00000002330,11401809.675102599
ENSG00000002549,76848524.65663476
ENSG00000002586,91815255.48686731
ENSG00000002587,121741.57058823529
ENSG00000002726,760644.1833105331
ENSG00000002745,1775969.5497948008
ENSG00000002746,237446.62886456904
ENSG00000002822,962783.6428180573
ENSG00000002834,297138952.6922025
ENSG00000002919,1124168.844870041
ENSG00000002933,474120298.30971277
ENSG00000003056,13266517.01792066
ENSG00000003096,21644.216279069755
ENSG00000003137,2121044.894117647
ENSG00000003147,1327456.7682626534
ENSG00000003249,1083152.8016415862
ENSG00000003393,617738.5922024625
ENSG00000003400,1275181.0730506154
ENSG00000003402,36391131.832010955
ENSG00000003436,32418656.976333804
ENSG00000003509,91298.24965800275
ENSG00000003756,6857215.909849522
ENSG00000003987,156955.5465116279
ENSG00000003989,136997574.88481534
ENSG00000004059,16306359.864979478
ENSG00000004139,30814617.68276334
ENSG00000004142,17885915.896716826
ENSG00000004399,56220294.86634746
ENSG00000004455,14946978.519288646
ENSG00000004468,3387636.746511627
ENSG00000004478,30508348.415458288
ENSG00000004487,6131417.90273598
ENSG00000004534,4468867.303009574
ENSG00000004660,434605.03036935715
ENSG00000004700,5690566.049794801
ENSG00000004766,429692.61559507507
ENSG00000004776,13555568.063474694
ENSG00000004777,255317.61709986322
ENSG00000004779,1622036.7651162792
ENSG00000004799,6991505.60383037
ENSG00000004809,733.6355677154588
ENSG00000004838,555956.98495212
ENSG00000004846,7289.877564979473
ENSG00000004848,3226.327222982212
ENSG00000004864,1252146.5214774283
ENSG00000004866,470192.36935704533
ENSG00000004897,6320155.19233926
ENSG00000004939,92.11874145006836
ENSG00000004948,13911.450615595075
ENSG00000004961,523096.57633378945
ENSG00000004975,1651299.6893296859
ENSG00000005001,34652.592065663506
ENSG00000005007,11820329.270588236
ENSG00000005020,12635015.745554036
ENSG00000005022,59945619.3116279
ENSG00000005059,845464.7474692207
ENSG00000005073,1137688.1456908341
ENSG00000005075,3407049.674965799
ENSG00000005100,839134.9155950751
ENSG00000005102,795367.5009575927
ENSG00000005108,54040.64514363884
ENSG00000005156,1026326.4242134067
ENSG00000005175,316444.48262653913
ENSG00000005187,35802.83351573188
ENSG00000005189,31861.873187414487
ENSG00000005194,2098722.0849521207
ENSG00000005206,3751159.904377565
ENSG00000005238,1668821.3692202463
ENSG00000005243,2659391.8928864575
ENSG00000005249,934180.788098495
ENSG00000005302,739953.8889192889
ENSG00000005339,26393702.206976745
ENSG00000005379,1785161.794391245
ENSG00000005381,6008.15759233926
ENSG00000005421,337.95458276333784
ENSG00000005436,418727.6324213405
ENSG00000005448,513490.4683994529
ENSG00000005469,995395.5629274966
ENSG00000005471,35939.14473324212
ENSG00000005483,7938421.351025991
ENSG00000005486,28631213.93556771
ENSG00000005513,234015.0436388508
ENSG00000005700,3237727.1103967167
ENSG00000005801,572764.2704514365
ENSG00000005810,3402246.314227086
ENSG00000005812,2982935.294801642
ENSG00000005844,8489981.358276336
ENSG00000005882,1926450.250615595
ENSG00000005884,1404532916.0187414
ENSG00000005889,1085329.2279069768
ENSG00000005893,39483445.20615593
ENSG00000005961,7269.422298221614
ENSG00000005981,4751.40752393981
ENSG00000006007,23246339.093296852
ENSG00000006015,2354388.404514364
ENSG00000006016,41450745.586867295
ENSG00000006025,412499.07086183317
