model_label,prob_bin,mean_predicted_prob,observed_yes_rate,n
Methylation Random Forest,1,0.3127431001984127,0.22499999999999998,80
Methylation Random Forest,2,0.4482616071428571,0.375,88
Methylation Random Forest,3,0.5324269943019944,0.5384615384615384,78
Methylation Random Forest,4,0.6079818253968254,0.6533333333333333,75
Methylation Random Forest,5,0.691621338813303,0.8095238095238095,84
Multiomic Random Forest,1,0.32377366255144036,0.18518518518518523,81
Multiomic Random Forest,2,0.4505593607305936,0.31506849315068497,73
Multiomic Random Forest,3,0.5285,0.6385542168674698,83
Multiomic Random Forest,4,0.606781007751938,0.6395348837209303,86
Multiomic Random Forest,5,0.6962077922077922,0.8311688311688311,77
