model_label,threshold,sensitivity,specificity,accuracy
Methylation Random Forest,0.05,1,0,0.5185185185185185
Methylation Random Forest,0.060000000000000005,1,0,0.5185185185185185
Methylation Random Forest,0.07,1,0,0.5185185185185185
Methylation Random Forest,0.08,1,0,0.5185185185185185
Methylation Random Forest,0.09,1,0,0.5185185185185185
Methylation Random Forest,0.1,1,0,0.5185185185185185
Methylation Random Forest,0.11,1,0,0.5185185185185185
Methylation Random Forest,0.12000000000000001,1,0,0.5185185185185185
Methylation Random Forest,0.13,1,0.005128205128205128,0.5209876543209877
Methylation Random Forest,0.14,1,0.005128205128205128,0.5209876543209877
Methylation Random Forest,0.15000000000000002,1,0.010256410256410256,0.5234567901234568
Methylation Random Forest,0.16,1,0.010256410256410256,0.5234567901234568
Methylation Random Forest,0.16999999999999998,1,0.015384615384615385,0.5259259259259259
Methylation Random Forest,0.18,1,0.020512820512820513,0.528395061728395
Methylation Random Forest,0.19,1,0.020512820512820513,0.528395061728395
Methylation Random Forest,0.2,1,0.03076923076923077,0.5333333333333333
Methylation Random Forest,0.21000000000000002,1,0.046153846153846156,0.5407407407407407
Methylation Random Forest,0.22000000000000003,1,0.05128205128205128,0.5432098765432098
Methylation Random Forest,0.22999999999999998,1,0.05128205128205128,0.5432098765432098
Methylation Random Forest,0.24,1,0.06153846153846154,0.5481481481481482
Methylation Random Forest,0.25,1,0.07179487179487179,0.5530864197530864
Methylation Random Forest,0.26,1,0.08205128205128205,0.5580246913580247
Methylation Random Forest,0.27,1,0.09743589743589744,0.5654320987654321
Methylation Random Forest,0.28,1,0.1282051282051282,0.5802469135802469
Methylation Random Forest,0.29,1,0.15384615384615385,0.5925925925925926
Methylation Random Forest,0.3,0.9952380952380953,0.18461538461538463,0.6049382716049383
Methylation Random Forest,0.31,0.9952380952380953,0.18974358974358974,0.6074074074074074
Methylation Random Forest,0.32,0.9952380952380953,0.2,0.6123456790123457
Methylation Random Forest,0.33,0.9857142857142858,0.21025641025641026,0.6123456790123457
Methylation Random Forest,0.33999999999999997,0.9761904761904762,0.2205128205128205,0.6123456790123457
Methylation Random Forest,0.35,0.9761904761904762,0.22564102564102564,0.6148148148148148
Methylation Random Forest,0.36,0.9619047619047619,0.23076923076923078,0.6098765432098765
Methylation Random Forest,0.37,0.9476190476190476,0.24615384615384617,0.6098765432098765
Methylation Random Forest,0.38,0.9428571428571428,0.2564102564102564,0.6123456790123457
Methylation Random Forest,0.39,0.9428571428571428,0.2717948717948718,0.6197530864197531
Methylation Random Forest,0.4,0.9285714285714286,0.3076923076923077,0.6296296296296297
Methylation Random Forest,0.41,0.9142857142857143,0.31794871794871793,0.6271604938271605
Methylation Random Forest,0.42,0.8952380952380953,0.358974358974359,0.6370370370370371
Methylation Random Forest,0.43,0.8809523809523809,0.38974358974358975,0.6444444444444445
Methylation Random Forest,0.44,0.8666666666666667,0.4358974358974359,0.6592592592592592
Methylation Random Forest,0.45,0.8285714285714286,0.4666666666666667,0.654320987654321
Methylation Random Forest,0.46,0.8095238095238095,0.5128205128205128,0.6666666666666666
Methylation Random Forest,0.47,0.7857142857142857,0.5435897435897435,0.6691358024691358
Methylation Random Forest,0.48,0.7714285714285715,0.5743589743589743,0.6765432098765433
Methylation Random Forest,0.49,0.7571428571428571,0.6102564102564103,0.6864197530864198
Methylation Random Forest,0.5,0.7380952380952381,0.6256410256410256,0.6839506172839506
Methylation Random Forest,0.51,0.7142857142857143,0.6410256410256411,0.6790123456790124
Methylation Random Forest,0.52,0.7,0.6564102564102564,0.6790123456790124
Methylation Random Forest,0.53,0.6714285714285714,0.6923076923076923,0.6814814814814815
Methylation Random Forest,0.54,0.6523809523809524,0.717948717948718,0.6839506172839506
Methylation Random Forest,0.55,0.6095238095238096,0.7384615384615385,0.671604938271605
Methylation Random Forest,0.56,0.580952380952381,0.7692307692307693,0.671604938271605
Methylation Random Forest,0.5700000000000001,0.5571428571428572,0.7897435897435897,0.6691358024691358
Methylation Random Forest,0.5800000000000001,0.5285714285714286,0.8205128205128205,0.6691358024691358
Methylation Random Forest,0.5900000000000001,0.49047619047619045,0.8358974358974359,0.6567901234567901
Methylation Random Forest,0.6000000000000001,0.47619047619047616,0.8512820512820513,0.6567901234567901
Methylation Random Forest,0.6100000000000001,0.44285714285714284,0.8564102564102564,0.6419753086419753
Methylation Random Forest,0.6200000000000001,0.41904761904761906,0.8666666666666667,0.6345679012345679
Methylation Random Forest,0.63,0.38095238095238093,0.882051282051282,0.6222222222222222
Methylation Random Forest,0.64,0.3476190476190476,0.9076923076923077,0.6172839506172839
Methylation Random Forest,0.65,0.319047619047619,0.9179487179487179,0.6074074074074074
Methylation Random Forest,0.66,0.2619047619047619,0.9384615384615385,0.5876543209876544
Methylation Random Forest,0.67,0.22380952380952382,0.9487179487179487,0.5728395061728395
Methylation Random Forest,0.68,0.19047619047619047,0.958974358974359,0.5604938271604938
Methylation Random Forest,0.6900000000000001,0.1619047619047619,0.9692307692307692,0.5506172839506173
Methylation Random Forest,0.7000000000000001,0.11904761904761904,0.9743589743589743,0.5308641975308642
Methylation Random Forest,0.7100000000000001,0.09047619047619047,0.9743589743589743,0.5160493827160494
Methylation Random Forest,0.7200000000000001,0.06666666666666667,0.9897435897435898,0.5111111111111111
Methylation Random Forest,0.7300000000000001,0.047619047619047616,0.9897435897435898,0.5012345679012346
Methylation Random Forest,0.7400000000000001,0.0380952380952381,1,0.5012345679012346
Methylation Random Forest,0.7500000000000001,0.02857142857142857,1,0.4962962962962963
Methylation Random Forest,0.76,0.014285714285714285,1,0.4888888888888889
Methylation Random Forest,0.77,0.014285714285714285,1,0.4888888888888889
Methylation Random Forest,0.78,0.004761904761904762,1,0.4839506172839506
Methylation Random Forest,0.79,0,1,0.48148148148148145
