feature,Overall
cg14716990,100
cg19859323,97.37005245644345
cg10286969,91.01056677163741
cg13495205,89.39258684173235
cg05527869,88.00588334098248
cg04552451,86.99650424251313
cg10356613,86.71582841905217
cg10043865,86.38482898657271
cg21587238,85.35634619596387
cg17069068,84.72947602681343
cg09988805,83.19623549871001
cg02102533,81.94803795563162
cg06436185,80.8614656304141
cg17527177,78.98314415090452
cg13829089,78.81436386342214
cg14972576,77.52869549436572
cg05004142,77.1307064744079
cg25888700,76.34482060646668
cg03953626,76.01009430034652
cg19872463,75.73751866537496
