feature,Overall
cg12186771,100
cg14716990,94.7828474676667
cg19859323,94.35258832141356
cg10286969,93.34889006931422
cg11654900,90.40117940367789
cg02090762,88.713961950277
cg04552451,88.49340472049559
cg09988805,87.47883459110807
cg26376241,86.91247435288993
cg09884146,85.56985308224031
cg25659902,85.26609737722318
cg15701612,84.806087975895
cg17069068,84.3516898809799
cg25888700,84.13767727869718
cg13495205,83.22959483247655
cg06436185,82.77862724132935
cg21587238,82.74034593508233
cg19367918,82.21901320980687
cg27526774,81.06169745740964
cg05527869,80.27090015767332
