feature,Overall,gene_symbol,simplified_region,chr,pos,UCSC_RefGene_Group,Regulatory_Feature_Name,Regulatory_Feature_Group,Enhancer,HMM_Island,DHS,DMR
cg12186771,100,MTMR7,Gene body,chr8,17206725,Body,,,TRUE,,,
cg04552451,93.87057946122596,NA,Unannotated / other,chr8,144852873,,,,,8:144924550-144927040,TRUE,DMR
cg19872463,84.16102142072091,LAG3,Promoter-proximal,chr12,6881629,TSS200,12:6881253-6882742,Unclassified,TRUE,,TRUE,
cg09884146,79.97597367655224,SPRED2,5′UTR,chr2,65593908,5'UTR;1stExon;Body,,,TRUE,,,
cg01268824,77.40990586494907,ZNF154,Promoter region,chr19,58220818,TSS1500,,,,,TRUE,
cg15701612,77.28322682167,NA,Enhancer,chr11,130253770,,,,TRUE,,,
cg03953626,76.06197798589442,KIAA1949,First exon,chr6,30652396,Body;1stExon,6:30652289-30655443,Promoter_Associated,,,,
cg11638117,75.12616130623724,SOX3,Promoter-proximal,chrX,139587335,TSS200,,,,X:139413290-139416623,,
cg03748429,73.99872530432357,ESX1,Promoter region,chrX,103500636,TSS1500,,,,X:103387218-103387341,,CDMR
cg11162118,73.61619894220449,PAX6,5′UTR,chr11,31837104,5'UTR,,,,11:31793680-31793721,,
cg18586886,72.14611958704873,KIAA1949,First exon,chr6,30652399,Body;1stExon,6:30652289-30655443,Promoter_Associated,,,,
cg02090762,70.46032169680112,FSCN2,Gene body,chr17,79503859,Body;Body,,,TRUE,17:77113961-77114657,,
cg26873132,67.80606210135946,DENND5A,Gene body,chr11,9191490,Body,,,TRUE,,,
cg01751245,65.37040699731787,SPRED2,5′UTR,chr2,65593761,5'UTR;1stExon;Body,,,TRUE,,TRUE,
cg07970752,65.10190184399546,MSLN,Gene body,chr16,817463,Body;Body,,,,16:757354-758578,TRUE,
cg17754510,63.76981443629135,NA,Enhancer,chr6,10391412,,,,TRUE,6:10498875-10499621,,
cg26376241,61.859390011392094,SPRED2,Promoter-proximal,chr2,65594021,TSS200;Body,,,TRUE,,TRUE,
cg08887400,60.826152353603945,KIAA1949,First exon,chr6,30652376,Body;1stExon,6:30652289-30655443,Promoter_Associated,,,,RDMR
cg09988805,56.478205535649515,NA,Enhancer,chr2,43278552,,2:43278108-43278840,Unclassified_Cell_type_specific,TRUE,,TRUE,
cg21587238,55.95115879506098,NA,Unannotated / other,chr5,42953590,,,,,5:42989300-42989395,,
