feature,Overall
ENSG00000167553,100
ENSG00000167767,97.24609623537631
ENSG00000196616,93.68269498823004
cg17754510,87.04755815466275
cg04552451,76.34203189181581
ENSG00000099204,63.95391299968266
ENSG00000135272,62.6547777347181
cg11638117,61.621624309839106
cg08887400,56.77072012298321
ENSG00000180914,56.60631941745725
ENSG00000128567,56.400771522610924
cg19859323,56.350801070266485
ENSG00000070404,52.80914898779597
ENSG00000136156,52.60352883211513
cg20172627,52.39334751022818
ENSG00000135480,51.709743870379434
cg18586886,50.20178945115876
cg14716990,49.93295075075965
ENSG00000153048,49.599038918682794
cg03953626,47.25022844212684
